Target_genes	BHLHE40|Average	SRX2424487|293	SRX2424488|293	SRX150519|A549	SRX150509|GM12878	SRX3322985|GM12878	SRX3322986|GM12878	SRX6888831|HeLa	SRX6888832|HeLa	SRX6888833|HeLa	SRX6888834|HeLa	SRX100528|Hep_G2	SRX150645|Hep_G2	SRX2424662|IMR-90	SRX2424663|IMR-90	SRX15783135|Jurkat	SRX15783136|Jurkat	SRX15783137|Jurkat	SRX15783138|Jurkat	SRX19471788|Jurkat	SRX19471789|Jurkat	SRX19471796|Jurkat	SRX19471797|Jurkat	SRX150695|K-562	SRX359985|LoVo	STRING
CLUAP1	1414.708333	844	509	1872	2298	3403	3625	949	622	0	0	1519	2158	2342	3124	0	0	0	0	1165	1715	3056	2561	2191	0	0
C16orf90	1414.708333	844	509	1872	2298	3403	3625	949	622	0	0	1519	2158	2342	3124	0	0	0	0	1165	1715	3056	2561	2191	0	0
CCDC86	1354.458333	444	201	1644	2380	3504	3539	704	309	0	0	764	2114	2274	2751	0	0	0	0	1383	2292	3371	2902	1931	0	0
SCAP	1327.750000	595	233	1714	2338	3210	3449	1522	817	0	0	1452	2125	2337	2790	0	0	0	0	985	1338	2719	2489	1753	0	0
SNRPE	1308.625000	373	171	1578	2476	3674	3623	505	310	0	0	757	2192	2298	2610	0	0	0	0	1237	1797	3109	2728	1969	0	0
STMN1	1240.041667	612	160	993	2331	3476	3307	1035	622	0	0	606	2084	2335	2499	0	0	0	0	1085	1503	2835	2477	1801	0	0
LDAH	1193.541667	0	0	1276	2371	3522	3554	726	384	0	0	974	2110	2243	2201	0	0	0	0	763	1272	2779	2319	2151	0	0
ERLIN1	1136.083333	0	0	1162	2134	3289	3376	704	457	0	0	405	2055	2211	2554	0	0	0	0	992	1393	2465	2025	2044	0	0
ERLIN2	1113.041667	0	0	1355	2170	3103	3202	289	158	0	0	388	2225	2190	2267	0	0	0	0	1014	1434	2687	2201	2030	0	0
ABCF1	1099.000000	373	147	1245	2121	2878	3014	857	511	0	0	1117	1825	2003	1979	0	0	0	0	856	1203	2423	2214	1610	0	0
PPP1R35	1083.166667	334	190	1469	1981	2985	2835	685	314	0	0	1063	2097	2332	2378	0	0	0	0	729	958	2115	1802	1729	0	0
DDX18	1080.416667	223	0	1114	2195	3341	3223	263	0	0	0	469	2063	2268	1865	0	0	0	0	940	1185	2616	2088	2077	0	0
NEMP1	1079.291667	455	232	1451	2222	3283	3094	409	165	0	0	738	2093	2234	2190	0	0	0	0	777	917	2059	1667	1917	0	0
ZCWPW1	1078.125000	334	190	1469	1981	2985	2835	685	314	0	0	1063	2053	2332	2378	0	0	0	0	729	958	2115	1802	1652	0	0
MEPCE	1078.125000	334	190	1469	1981	2985	2835	685	314	0	0	1063	2053	2332	2378	0	0	0	0	729	958	2115	1802	1652	0	0
DUX4	1071.083333	1966	1777	565	377	1198	1705	2322	2224	2144	2144	404	606	576	452	1141	1260	1130	1329	353	561	422	204	735	111	0
EMC2	1070.458333	182	0	921	2346	3512	3402	675	199	0	0	732	2147	2212	1863	0	0	0	0	633	753	2225	1751	2138	0	0
ELAVL3	1058.208333	259	0	833	2332	3312	3345	0	0	0	0	535	1965	2047	2009	0	0	0	0	1024	1243	2559	1915	2019	0	0
RAD23A	1054.458333	0	0	605	2210	3620	3357	463	255	0	0	293	2215	2167	1881	0	0	0	0	895	965	2223	2088	2070	0	0
CALR	1054.458333	0	0	605	2210	3620	3357	463	255	0	0	293	2215	2167	1881	0	0	0	0	895	965	2223	2088	2070	0	0
BNIP3	1053.250000	0	0	1510	2383	3265	3465	553	313	0	0	1106	1976	2278	2469	0	0	0	0	467	692	1434	1198	2169	0	0
LARP1	1047.458333	0	0	1503	2214	2997	3231	297	186	0	0	581	2206	2159	2424	0	0	0	0	736	730	2268	1706	1901	0	0
ZNF263	1045.250000	0	0	1032	2300	3161	2969	237	163	0	0	356	2067	2188	1840	0	0	0	0	826	1208	2550	2143	2046	0	0
RPF2	1042.291667	0	0	995	2347	3582	3469	570	234	0	0	514	2242	2128	1696	0	0	0	0	546	889	2058	1601	2144	0	0
PSME3	1041.750000	352	184	1096	2194	3141	3198	655	282	0	0	619	1901	2053	1711	0	0	0	0	679	1027	2221	1801	1888	0	0
BECN1	1041.750000	352	184	1096	2194	3141	3198	655	282	0	0	619	1901	2053	1711	0	0	0	0	679	1027	2221	1801	1888	0	0
USP3	1032.250000	192	0	1558	1842	2206	2519	289	335	0	0	678	1912	1940	2329	0	0	169	566	1207	1345	2080	1918	1689	0	0
ZNF669	1030.458333	244	0	881	2320	3220	2566	584	235	0	0	835	2197	2421	2224	0	0	0	0	600	907	1925	1565	2007	0	0
DPY19L3	1020.041667	0	0	1364	2267	2974	3065	1205	775	0	0	701	2168	2261	1872	0	0	0	0	477	626	1738	1043	1945	0	0
GET4	1019.958333	138	0	1221	2017	2780	2898	798	487	0	0	651	1896	1834	2251	0	0	0	0	862	1113	2242	1801	1490	0	0
CHAMP1	1000.833333	0	0	808	1793	2844	3116	299	340	0	0	282	2034	1962	2130	0	0	0	0	829	1116	2467	2042	1958	0	0
SRP54	1000.500000	382	207	1134	2044	3168	2643	695	357	0	0	1124	1667	1835	1683	0	0	0	0	547	917	2097	1537	1975	0	0
YWHAQ	996.166667	0	0	1290	2246	3199	3199	539	192	0	0	409	1815	2266	2432	0	0	0	0	324	589	1831	1512	2065	0	0
SLC25A26	989.666667	264	0	755	2303	3411	2995	263	194	0	0	531	2302	2278	1743	0	0	0	0	457	772	1854	1371	2259	0	0
ABHD17A	984.750000	122	0	923	2470	3364	3162	197	0	0	0	687	2084	2136	1657	0	0	0	0	493	906	2036	1603	1794	0	0
MRPS18C	979.000000	252	0	918	2203	3275	2472	239	0	0	0	479	2121	2131	1954	0	0	0	0	658	1095	1887	1788	2024	0	0
HELQ	979.000000	252	0	918	2203	3275	2472	239	0	0	0	479	2121	2131	1954	0	0	0	0	658	1095	1887	1788	2024	0	0
LAMP1	973.375000	0	0	919	2117	3036	3233	194	139	0	0	775	1849	1861	1693	0	0	0	0	491	877	2375	1905	1897	0	0
LONP1	971.333333	189	0	1095	2286	3111	3139	321	0	0	0	451	2053	1831	1686	0	0	0	0	563	798	2097	1869	1823	0	0
CATSPERD	971.333333	189	0	1095	2286	3111	3139	321	0	0	0	451	2053	1831	1686	0	0	0	0	563	798	2097	1869	1823	0	0
SYNRG	948.083333	0	0	798	1724	3505	3103	0	0	0	0	270	2079	1870	1620	0	0	0	94	904	1100	1941	1679	2067	0	0
GPI	945.750000	0	0	1363	2326	3401	3192	560	162	0	0	520	2141	2308	1445	0	0	0	0	314	386	1373	1237	1970	0	0
SURF6	942.083333	0	0	289	2086	3127	2602	174	0	0	0	122	1523	2265	1749	0	0	0	0	1010	1393	2571	2238	1461	0	0
MAPK6	942.041667	0	0	1301	2083	2889	2881	181	0	0	0	796	2027	2075	2224	0	0	0	0	380	696	1837	1453	1786	0	0
MRPL45	941.666667	0	90	1491	2030	3585	2556	191	0	0	0	659	1964	2325	1588	0	0	0	0	433	579	1718	1213	2178	0	0
GMFB	935.166667	168	0	1119	2122	2976	2424	257	0	0	0	659	1921	2021	2177	0	0	0	0	482	904	1775	1515	1924	0	0
PES1	933.958333	348	140	642	2183	3144	2196	350	145	0	0	554	2069	2114	1669	0	0	0	0	603	1011	1826	1422	1999	0	0
U2SURP	933.875000	243	0	948	1900	3347	2718	0	0	0	0	462	2116	2165	1853	0	0	0	114	552	812	1831	1424	1928	0	0
KDM6B	921.875000	315	342	1180	1545	2166	2384	683	337	0	0	848	1378	1552	1785	0	0	0	0	980	1171	2099	1924	1436	0	0
ATF3	914.708333	0	0	832	2242	3357	2923	317	217	0	0	158	1274	1716	1915	0	0	0	0	633	862	2146	1515	1846	0	0
SAE1	909.958333	274	203	1160	2138	3406	2767	551	234	0	0	540	2115	1983	1432	0	0	0	0	306	537	1228	1012	1953	0	0
